,,1st Semester
Subject Code,Course Description ,Units
,,
GED 111,Understanding the Self,3
GED 112,Readings in Philippine History,3
GED 113,The Contemporary World,3
GED 114,Mathematics in the Modern  World,3
TYP100,Fundatamentals of Typing ,3
FIL111,Filipino sa Ibat-Ibang Disiplina,3
NSTP 1,Civic Welfare Training Service I,3
P.E 1 ,Self Testing Activities,2
,,
,,
,,2nd Semester
Subject Code,Course Description ,Units
,,
GED125,Purposive Communication,
GED126,Art Appreciation ,3
GED127,"Science, Technology and  Society ",3
GED128,Ethics,3
COM101,Basic Computer Techniques and Word Pro,3
FIL221,Sosyedad at literatura /Panitikang Panlipunan,3
NSTP 2,Civic Welfare Training Service 2,3
P.E 2,Fundamentals or Rythmic Activities ,3
,,2
