,,1st Semester
Subject Code,Course Description ,Units
,,
GED 129,Rizal's Life and Works,3
GED 222,Arts and Humanities,3
ECO 101,Microeconamics,3
MGT 211,Environmental  Management System,3
EDU 040,Values Education,3
COM200,Computer Presentation Skills,3
P.E 3,Fundamentals or Games and Sports,2
,,
,,
,,2nd Semester
,,
Subject Code,Course Description ,Units
,,
LAW 201,Obligations and Contracts ,3
TAX 101,Income Taxation,3
MGT 401,Inventory Management and Control,3
BEC100,Social Responsibility and Good Governance,3
COM 201,Electronic Spreadsheet Applications,3
P.E 4,Recreational Activities (Swimming),2
