,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
LIT 101,Survey of Philippine Literature in English ,3
LIT102,Children and Adolescent Literature ,3
LIT 311,"Contemporary, Poppular Literature and Emergent Literature ",3
ENG 311,Teaching and Assesment of Literature Studies,3
LIT 300,Literary Critisism ,3
ENG 402,Creative Writing ,3
ENG 312,"Language, Culture and Society ",3
ENG 304,Bussiness Comunnication ,3
,,
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
LIT 204,Survey of Afro-Asian Literature ,3
EDU 402,Language Education Research ,3
ENG 322,Teaching and Assessment of the Macroskills,3
ENG 401,Computer Journalism ,3
ENG 321,Language Learning Materials  and Development ,3
ENG 323,English for Specific Purpose ,3
ENG 301,Technical Writing ,3
MAT 303 ,Probablity and Statics ,3
