,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
LIT 205,Survey of English and American literature ,3
ENG 412,Structure of English ,3
ENG 411,Introduction to Linguistic ,3
ENG 413,Teaching and Assessment of Grammar,3
EDFS 01,Field Study 1,3
EDFS 02,Field Study 2,
,,
,,
,,
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
ENG 422,Language Programs and Policies in Multilingual Societies,3
ENG 421,Principles and Theories of Language Acquisition,3
LIT 303,Speech and Theater Arts ,3
EDU 602,Teaching Intership ,6
