,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
FIL 311,Estruktura ng Wikang Filipino ,3
FIL  313,Introduksyon sa Pagaaral ng Wika,3
FIL  402,Maikling Kwento at Nobelang pilipino ,3
FIL 315,Mga natatanging Diskurso sa Wika at Panitikan ,3
FIL 314,Ang Filipino sa Kurikulum ng Batayang Edukasyon,3
FIL 500,Panunuring Panitikan ,3
ENG 304,Business Communication ,3
,,
,,
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
EDU 403,Introduksyon sa Pananaliksik-Wika at Panitikan (Research),3
FIL  321,Panunulang Pang Lingguwistika,3
FIL  401,Panulaang Pilipino ,3
FIL  403,Sanaysay at Talumpati ,3
FIL  322,Pagtuturo at Pagtataya ng Makrong Kasanayan Pangwika,3
FIL  404,Dulaang Filipino ,3
FIL  323,Filipino Para sa Natatanging Gamit,3
MAT 303 ,Probability and Statistic,3
