,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
FIL 413,Barayu at Baryasyon ng Wika ,3
FIL 412,Introduksyon sa Pamamahayag,3
FIL 411,Malikhaing Pagsulat ,3
FIL 414,Kulturang Popular ,3
EDFS 01,Field Study 1,3
EDFS 02,Field Study 2,
,,
,,
,,
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
FIL 412,"Ugnayan ng Wika ,Kultura at Lipunan",3
FIL 422,Paghahanda at Ebalwasyon ng Kagamitang  Panturo ,3
FIL 423,Introduksyon sa Pagsasalin ,3
EDU 602,Teaching Internship,6
