,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
GED 111,Understanding Self,3
GED 112,Readings in Philippine History ,3
GED 113,The Contemporary World ,3
GED 114,Mathematics in The Modern World,3
FIL 111,Filipino sa Ibat Ibang Disiplina ,3
TYP 100,Fundamentals of typing ,3
TTL 111,Technology for Teaching and Learning 1,3
NSTP I ,Civic Welfare training Service  1,3
P.E 1,Self Testing Activities,2
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
GED 125,Purposive Communication ,3
GED 126,Art Appreciation ,3
GED 127,"Science, Technology and Society ",3
GED 128,Ethics ,3
FIL 221,Kontekstwalisadong Komunikasyon sa Filipino ,3
TTL 121,Technology for Teaching and Learning 2,3
COM 101,Basic Computer Techniques  & Word Processing ,3
NSTP 2,Civic Walfare Training Service 2,3
P.E 2,Fundamentals of Rythimic Activities ,2
