,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
MAT 101,History of Mathematics ,3
MAT 203,Modern Geometry,3
MAT 301,Trigonometry ,3
MAT 205,College and Advance Algebra ,3
MAT 102,Number Theory,3
MAT 311,Problems Solving. Mthematical investigations and modeling ,3
ENG 304,Bussiness Comunnication ,3
,,
,,
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
EDU 404,Research in Mathematics,3
MAT 303 ,Probability and Statistics,3
MAT 302,Plain and Soli Trigonometry ,3
MAT 304,Abstract Algebra ,3
MAT 400,Calculus 1 with Analytic Geometry ,3
MAT 321,Principles and Strategies of Teaching Mathematics ,3
MAT 600,Liner Algebra,3
