,,1st Semester
Subject Code,Course Description ,Units
,,
GED 129,Rizal's Life and Works,3
GED 220,Arts and Humanities,3
PSY102,Personal and Professional Development ,3
MGT 212,Administrative  Office Procedures and Mgt.,3
EDU 040,Values Education,3
COM200,Computer Presentation Skills,3
P.E 3,Fundamentals or Games and Sports,2
,,
,,
,,2nd Semester
,,
Subject Code,Course Description ,Units
,,
OFC 201,Principles of Public and Customer Relations,3
LAW 201,Obligations and Contracts ,3
TAX 101,Income Taxation,3
MGT 401,Inventory Management and Control,3
BEC100,Social Responsibility and Good Governance,3
COM 201,Electronic Spreadsheet Applications,3
P.E 4,Recreational Activities (Swimming),2
