1st Semester,,
Subject Code,Course Description ,Units
,,
MGT 501,Strategic Operation Management ,3
COM 503,Intro to Multimedia and Web Design ,3
ENG 304,Bussiness Communication ,3
BEC102,Total Quality Management ,3
STE 200,Speed Development ,3
,,3
,,
SUMMER,,
OFC 101,Office Administration Internship,6
,,
2nd Semester,,
,,
,,
Subject Code,Course Description ,Units
,,
MGT 402,Project Management ,3
MGT 322,Productivity and Quality Tools,3
MGT 323,Facilities Management ,3
MGT 201,Management Information System ,3
MGT 321,Managerial Accounting ,3
MGT 303,Probability and Statistic,3
