,1st Semester Subject,,,,,
,,,,,,
1,DS102,Discrete Structure 2,3,Ms. Kristine Osano,"M,W,F",9:00 am - 10 :00 am
2,AL102,Automata Theory and Formal Lan,3,Mr. Algreen Zafra,"T,TH",9:00 am - 10 :00 am
3,AR101,Architecture  and Organization,3,Mr. Algreen Zafra,"M,W,F",3:00 pm - 4:00 pm
4,SDF 104,Object- Oriented Programming,3,Mrs. Vhying Bermas ,"T,TH",3:00 pm - 4:00 pm
5,SE101,Software Engineering I,3,Mr. Algreen Zafra,"M,W,F", 10 :00 - 11:00am
6,ENG104,Bussiness Communication,3,Mr. Benjie Javier ,"T,TH", 10 :00 - 11:00am
,,,,,,
,,,,,,
,2nd Semester Subject,,,,,
,,,,,,
1,ELEC101,Graphics and Visual Computing,3,Ms. Kristine Osano,"T,TH",9:00 am - 10 :00 am
2,NC101,Networks and Communications ,3,Ms. Kristine Osano,"T,TH",4:00pm - 5:00 pm 
3,OS101,Operating Systems,3,Mr. Algreen Zafra,"M,W,F",4:00pm - 5:00 pm 
4,SE102,Software Engineering 2,3,Mr. Algreen Zafra,"M,W,F", 10 :00 - 11:00am
5,IAS 103,Information Assurance and Secu,3,Mr. Algreen Zafra,"M,W,F",3:00 pm - 4:00 pm
6,HC1101,Human Computer Interaction ,3,Ms. Kristine Osano,"T,TH",7:00am - 8:00am 
7,MAT 303,Probability and Statistics,3,Dr. Wilbert Acedilla,"M,W,F",1:00- 2:00pm
