,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
TLE 111,Edukasyong Pantahanan at Pangkabuhayan ,3
ENG 111,Teaching English in the Elementary  Grades (Language Arts),3
SCH 111,Teaching Science in Elementary Grades (biology chemistry),3
MTB 111,Content and Pedagogy for the Mother Tounge ,3
ENG 304,Bussiness Communication ,3
MUS 111,Teaching Music in the Elementary  Grades ,3
ART 111,Teaching Arts in the Elementary  Grades ,3
,,
,,
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
EDU 401,Research in Education ,3
EDU 331,Teaching Multi-Grade Classes ,3
SSC 111,Teaching Social Studies in Elementary Grades ,3
PEH 111,"Teaching P,E & Health in the Elementary Grade ",3
FIL 110,Pagtuturo ng Wikang Filipino sa Elementarya (Estruktura at gamit ng Wikang Filipino),3
TLE 112,Edukasyong Pantahanan at Pangkabuhayan with Entreprenuership  ,3
MAT 303 ,Probability and Statistics ,3
